Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Єресько,Мирон,Богданович,Чоловік,01.09.1994,Кінорежисер,село Семенівка,"узвіз Казанська, буд. 5, Коростень, 88784",+380 (92) 888-01-81,masokhaomelian@example.org
Чарниш,Богдан,Пилипович,Чоловік,10.11.1984,Музичний редактор,село Переяслав,"площа Нікітіна, буд. 660, Турка, 68161",642 27 49,solomon65@example.com
Забарна,Ірина,Тарасівна,Жінка,04.12.1959,Електромонтажник,хутір Торецьк,"парк Грецький, буд. 0 кв. 30, Волноваха, 43003",099 695-31-81,kostiantyn65@example.com
Швачко,Юстим,Георгійович,Чоловік,21.04.1946,Акушер,місто Барвінкове,"площа Аркадійська, буд. 08 кв. 09, Ясинувата, 35962",+380 93 474-40-71,olha65@example.com
Міщенко,Надія,Болеславівна,Жінка,21.10.1983,Нотаріус,хутір Дубляни,"проспект 11-та Лінія Марії Демченко, буд. 314, Брянка, 18154",209-69-20,bebeshkomykhailyna@example.org
Євтушенко,Давид,Єфремович,Чоловік,21.08.1940,Електрослюсар,селище Здолбунів,"сквер Сибірська, буд. 2 кв. 225, Вилкове, 02645",002 140 55 04,illia50@example.net
Сомко,Болеслав,Гаврилович,Чоловік,27.12.1942,Реабілітолог,селище Сарни,"площа Інглезі, буд. 2, Севастополь, 10659",907-97-91,myron12@example.net
Гузій,Аліна,Зорянівна,Жінка,16.11.1978,Біолог,хутір Полонне,"вулиця Дністровська, буд. 615 кв. 077, Нововолинськ, 04715",+380 (55) 285-96-87,shvaikaokhrim@example.com
Ємельяненко,Гордій,Венедиктович,Чоловік,09.08.1991,Стиліст,місто Виноградів,"узвіз Аеродромна, буд. 663 кв. 616, Новий Калинів, 17572",908-05-84,solomiia07@example.net
Василечко,Валентин,Богуславович,Чоловік,24.04.1990,Швачка,село Перемишляни,"сквер Дубова, буд. 20 кв. 669, Бар, 32591",018 623 10 08,haidamakaboryslav@example.net
Свистун,Дарина,Давидівна,Жінка,05.02.1983,Електрик,селище Рівне,"шосе Колонічна, буд. 281 кв. 5, Чортків, 49949",+380 13 158-79-81,volodymyra62@example.com
Проценко,Альбіна,Назарівна,Жінка,24.05.1967,Гірник,місто Часів Яр,"вулиця Катерининська, буд. 037 кв. 417, Кагарлик, 02719",040 416-04-70,avhustyn75@example.com
Гоголь-Яновська,Аліна,Прохорівна,Жінка,07.03.1954,Астрофізик,селище Верхівцеве,"провулок 11-та Суворовська, буд. 76 кв. 25, Олександрівськ, 25741",476-86-39,oleksaarkhymovych@example.org
Дзиндра,Йосип,Вадимович,Чоловік,26.07.1953,Електромонтажник,селище Батурин,"шосе Проектна 1-ша, буд. 0, Ланівці, 22658",+380 51 532 27 94,albertvelychko@example.com
Малик,Тимофій,Геннадійович,Чоловік,27.06.1948,Стиліст,селище Ровеньки,"набережна Пересипська 5-та, буд. 39, Золотоноша, 40448",005 55 53,khrystyna18@example.org
Базилевич,Мирон,Єфремович,Чоловік,06.05.1979,Астроном,селище Надвірна,"парк Маршала Говорова, буд. 4 кв. 36, Ананьїв, 06680",+380 (70) 547-74-56,zperebyinis@example.net
Величко,Зорян,Євгенійович,Чоловік,02.06.1991,Електромонтажник,село Хмільник,"узвіз Соляний 3-й, буд. 38 кв. 619, Іловайськ, 84876",801-62-84,redkoieva@example.org
Супруненко,Герман,Ігнатович,Чоловік,30.01.1975,Хімік,місто Радехів,"проспект Романтиків, буд. 0, Апостолове, 32753",+380 03 016 30 23,etymchenko@example.org
Юрчишина,Марта,Устимівна,Жінка,07.04.1998,Петрограф,хутір Вишневе ,"парк Перша, буд. 13, Яворів, 82174",076 405-85-74,ochupryna@example.com
Артеменко,Світлана,Данилівна,Жінка,19.04.1942,Письменник,хутір Лебедин,"провулок Манежна, буд. 4 кв. 290, Львів, 36755",046 378-27-41,anastasiia13@example.org
Карпа,Данна,Гордіївна,Жінка,22.05.1950,Сценарист,хутір Перемишляни,"парк Героїв прикордонників, буд. 571, Тараща, 50399",+380 83 340-23-41,roman35@example.net
Назаренко,Володимир,Стефанович,Чоловік,07.05.1977,Фрілансер,селище Вараш,"площа Лиманчик 2-й Лінія 8-ма, буд. 5, Луцьк, 40338",068 302-99-05,rubanpriska@example.net
Сіробаба,Мілена,Йосипівна,Жінка,27.11.1974,Мірошник,село Охтирка,"сквер Херсонський сквер, буд. 07, Першотравенськ, 72820",+380 31 255 59 57,demydhaidenko@example.com
Мазепа,Станіслав,Лукʼянович,Чоловік,11.02.1941,Електротехнік,селище Дружба ,"провулок Чорноморський 4-й, буд. 00 кв. 35, Чоп, 58836",+380 07 600 73 56,markorak@example.net
Ісаєвич,Симон,Геннадійович,Чоловік,28.02.1944,Юрист,хутір Долина ,"набережна Радіальний, буд. 4 кв. 5, Бахчисарай, 16888",903-89-46,dtymchenko@example.org
Москаль,Ірина,Петрівна,Жінка,01.01.1979,Сценарист,хутір Золоте,"сквер Амундсена, 3-й, буд. 900 кв. 105, Феодосія, 22094",+380 (83) 096-46-72,hryhoriidevdiuk@example.org
Романчук,Ольга,Ігорівна,Жінка,11.07.1966,Нотаріус,село Кропивницький,"сквер Ляпунова, буд. 722, Сімферополь, 01071",078 729-03-91,iakiv29@example.net
Терещенко,Федір,Богуславович,Чоловік,31.08.2004,Дизайнер,місто Білозерське,"набережна Виноградна, буд. 8, Заліщики, 44438",762 75 21,dantovstolis@example.org
Мазур,Євген,Орхипович,Чоловік,29.05.1991,Модельєр,місто Липовець,"узвіз Профспілкова, буд. 4 кв. 835, Мукачево, 12471",+380 (37) 320-26-29,mariana78@example.net
Данчук,Роксолана,Гордіївна,Жінка,20.06.1996,Музикознавець,місто Ржищів,"вулиця Князівський, буд. 3, Бахмут, 23974",+380 (03) 058-02-67,stanislavtryhub@example.com
Чубай,Марина,Остапівна,Жінка,02.11.1946,Медик,місто Чортків,"проспект Трудовий, буд. 424 кв. 0, Дубровиця, 57206",367 68 36,nartiushenko@example.org
Рудик,Юстина,Симонівна,Жінка,15.03.1992,Графік,село Золотоноша,"вулиця Композитора Глинки, буд. 11, Євпаторія, 15713",+380 62 305 76 01,chmilstepan@example.com
Овсієнко,Вʼячеслав,Симонович,Чоловік,01.01.1962,Скульптор,місто Зугрес,"узвіз Покровський, буд. 6 кв. 327, Ямпіль, 88687",+380 10 041-97-83,poltavetsliudmyla@example.org
Деркач,Вадим,Петрович,Чоловік,18.01.1967,Модель,селище Черкаси,"провулок Тепла, буд. 9 кв. 53, Бровари, 77044",+380 17 496-51-02,zlahoda@example.org
Дашенко,Ірина,Тарасівна,Жінка,10.10.1947,Промисловець,хутір Фастів,"проспект Яблунева, буд. 84, Люботин, 08824",804-49-84,khrystycholeksandr@example.net
Гузій,Аврелій,Данилович,Чоловік,05.09.2003,Єгер,місто Монастирище,"набережна Східчастий 4-й, буд. 3, Жовті Води, 61567",070 174-95-62,vertyporokhtetiana@example.net
Шутько,Устим,Станіславович,Чоловік,24.12.2000,Психолог,місто Заліщики,"провулок Байдарочний, буд. 6, Токмак, 47000",+380 (31) 226-71-29,yhaidai@example.com
Каденюк,Климент,Васильович,Чоловік,03.10.1981,Водій,село Бар,"сквер Мечникова, буд. 69 кв. 36, Чорнобиль, 21985",451 04 58,pylyporobets@example.org
Засенко,Леон,Богуславович,Чоловік,26.07.2003,Електрослюсар,селище Малин,"сквер Висока, буд. 164 кв. 36, Дунаївці, 07091",+380 30 397-45-95,venedykt50@example.net
Цюцюра,Костянтин,Максимович,Чоловік,06.05.1955,Кур'єр,село Ланівці,"площа Грузовий, буд. 7 кв. 8, Моспине, 11410",+380 69 646-54-59,ldevdiuk@example.net
Данченко,Марія,Бориславівна,Жінка,14.10.1998,Будник,село Камінь-Каширський,"проспект Лінія 40-ва, буд. 603, Ходорів, 58903",+380 32 396-87-08,kshukhevych@example.net
Рудько,Анжела,Кирилівна,Жінка,08.10.1948,Літературознавець,хутір Корюківка,"набережна Локомотивний 2-й, буд. 937, Ізмаїл, 51411",+380 15 273-99-59,rhrytsenko@example.com
